Withdraw Date,Wallet Id,Transaction Number,Dollar ,Paid ,Reason
03/02/2018 11:33,XjvgC9w9CterLHToVyKgtbt2n4ysyHV5ay,10152,1.5,,
03/02/2018 12:11,XobWsm8fVsL1fH4FhaLqVNL2jWD1RU3J7f,10153,0.5,,
03/02/2018 12:12,Xe8PRAJTr223gfzLaFb4CDM2KoNhyPuq6Z,10154,1,,
03/02/2018 13:14,XcNCvDmUGNPFBdyuWE17iWGdR6EPeFfGGg,10155,5,,
03/02/2018 13:26,XqBbv7GQBHEAvUeG5J625S63qb6LdsrSE7,10156,1,,
03/02/2018 13:42,XwGh8cPapsrfhTo2yMVjANhbLVYzhft5eM,10157,0.5,,
03/02/2018 14:03,XuEbgMARYDvda2VxJ325d5orswm4aNUAsZ,10158,0.5,,
03/02/2018 14:13,Xrq662EfwYhDDHxFbePys24CdG1tVpLvYi,10159,0.5,,
03/02/2018 14:26,Xtyn9t51cjoXcAnp444UfwQwphJz3bKYsp,10160,0.5,,
03/02/2018 14:32,XhURektfyTNmKCYSYCuwuVRMsC2s3nHGks,10161,0.5,,
03/02/2018 14:50,XnrXHoMtZ2oU227TwZrNNv1ktVm9R6ntF9,10162,0.5,,
03/02/2018 14:55,XrkM9cDBrF9y7BP2s6fh8CRvjyxCwb7x7M,10163,0.5,,
03/02/2018 14:56,XiihzHxt8sixv4WXpdzaJiM9NBtp4ttU4M,10164,0.5,,
03/02/2018 15:01,Xj7GUXUDtZHksfTjuKCJwxumXdvUohUTPC,10165,0.5,,
03/02/2018 15:11,Xn8ASdXsPNZsp4pF2kEkDheqKeotyGy35x,10166,1.5,,
03/02/2018 15:12,XyKFT6TFEibHtmvmi1UiTCmYskhyXLuVyc,10167,0.5,,
03/02/2018 15:12,XvVoDG4hjYdgkC9UL66wL91ng64wZ9oa29,10168,0.5,,
03/02/2018 15:26,XxBEHZcrsHa21Kc9ncG3N7VcwbjddCMV9b,10169,4,,
03/02/2018 15:40,XyAuwmur8wMg5FVY7MzZZ3n3A9i8wHr1rR,10170,2.5,,
03/02/2018 15:44,XwKW5aP41XE8VDGzdQxX7Zw7EnjTaH8qe2,10171,1,,
03/02/2018 15:50,XgEgW4H6H2RonzgWZbArEnUjgCWgFdiCQp,10172,0.5,,
03/02/2018 15:51,Xe9c7TMCyBauMCT9dr2z8wnL86u4H18aYe,10173,1.5,,
03/02/2018 16:06,XhhJwHNVGNwyeRfaEeupmuXvFrf5wCGR9s,10174,0.5,,
03/02/2018 16:26,Xfa4nA5LtkPGzWyDDsqKdMn2SHYmfLcW1N,10175,0.5,,
03/02/2018 16:28,XqDjsZ1RvGzkBfknXfEetYMTVi4UogGX7r,10176,0.5,,
03/02/2018 16:30,Xte4aUTu5qNphd3mbwUu6bQCKBRgqGEMHX,10177,0.5,,
03/02/2018 16:38,XjnmeD1n87nytJusgHJPUadz6GqR7szkM4,10178,0.5,,
03/02/2018 16:38,XeS7UFNpWhN66BmdQs5V8ziTiHnvXzoEoR,10179,0.5,,
03/02/2018 16:45,Xxtkw3e45GaKYPMqnjHewLAdP15tLuCSrR,10180,0.5,,
03/02/2018 16:56,XwvVUfT3mg2HJ4FPWqgXS3sxzMLpPV6ZWL,10181,0.5,,
03/02/2018 16:56,Xvg6v9HGygPty8kmA5N8cb2uQbUA7RjQN8,10182,0.5,,
03/02/2018 16:58,XfJaRD7zgKdm7YsLtZcX2yPZYwXrjcpVdx,10183,1,,
03/02/2018 17:06,XjSkS5ksRgUGZPb5NScbDDFk3w2jxnGo5A,10184,0.5,,
03/02/2018 17:09,Xm3NBTBB2nfBuAdWdqNxESr3KHBnYucRw9,10185,1,,
03/02/2018 17:11,XgPng6FGimTR4baEPWzD2LdJQ9rH5JD97t,10186,0.5,,
03/02/2018 17:33,XvH3zzKwZaP7nDxTHso5eeDvkY1UWTjGb9,10187,0.5,,
03/02/2018 17:52,Xu2JTzFTrJrYTn36kTEk1zdDC7oTnp2moM,10188,1,,
03/02/2018 17:59,XjXZ84AhRQpmVzBPHd1Cqqa5DW2Pyj1GaU,10189,1,,
03/02/2018 18:01,XqvbTeRqAkmWiNviBgUnca1wKu8b2nVwmV,10190,0.5,,
